stage,task_id,model,preprocess,n_samples,exact_acc,within_1_acc,mae_levels,adjacent_error_rate
01_screening,G2_mg_molar_grade,Spectrum-KAN,p2,648,0.4305555555555556,0.8873456790123457,0.6820987654320988,0.8021680216802168
01_screening,G2_mg_molar_grade,Spectrum-KAN,p3,648,0.36728395061728397,0.8441358024691358,0.7885802469135802,0.7536585365853659
01_screening,G2_mg_molar_grade,Spectrum-KAN,p4,648,0.6064814814814815,0.9305555555555556,0.46296296296296297,0.8235294117647058
01_screening,G2_mg_molar_grade,Spectrum-KAN,raw,648,0.5848765432098766,0.9398148148148148,0.47530864197530864,0.8550185873605948
01_screening,G3_mba_molar_grade,1D-CNN,p1,681,0.5389133627019089,0.9632892804698973,0.4977973568281938,0.9203821656050956
01_screening,G3_mba_molar_grade,1D-CNN,p2,681,0.618208516886931,0.9911894273127754,0.39060205580029367,0.9769230769230769
01_screening,G3_mba_molar_grade,1D-CNN,p3,681,0.40822320117474303,0.8531571218795888,0.7386196769456681,0.7518610421836228
01_screening,G3_mba_molar_grade,1D-CNN,p4,681,0.5888399412628488,0.9530102790014684,0.4581497797356828,0.8857142857142857
01_screening,G3_mba_molar_grade,1D-CNN,raw,681,0.4155653450807636,0.856093979441997,0.7283406754772394,0.7537688442211056
01_screening,G3_mba_molar_grade,Chem-KAN,p1,681,0.6872246696035242,0.9794419970631424,0.3333333333333333,0.9342723004694836
01_screening,G3_mba_molar_grade,Chem-KAN,p2,681,0.7635829662261381,0.9941262848751835,0.2422907488986784,0.9751552795031055
01_screening,G3_mba_molar_grade,Chem-KAN,p3,681,0.7077826725403817,0.9853157121879589,0.3069016152716593,0.949748743718593
01_screening,G3_mba_molar_grade,Chem-KAN,p4,681,0.6240822320117474,0.9897209985315712,0.38619676945668135,0.97265625
01_screening,G3_mba_molar_grade,Chem-KAN,raw,681,0.5682819383259912,0.9515418502202643,0.4801762114537445,0.8877551020408163
01_screening,G3_mba_molar_grade,HistGradientBoosting,p1,681,0.5345080763582967,0.9515418502202643,0.5139500734214391,0.8958990536277602
01_screening,G3_mba_molar_grade,HistGradientBoosting,p2,681,0.6372980910425844,0.9618208516886931,0.4008810572687225,0.8947368421052632
