Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P3_mba_presence,MBA Presence,Chem-KAN,raw,3,0.41904761904761906,0.5,0.7213114754098361
P3_mba_presence,MBA Presence,Chem-KAN,raw,4,0.7530529172320217,0.7448979591836735,0.8516483516483516
P3_mba_presence,MBA Presence,PLS-DA,raw,0,0.7940161104718066,0.78582995951417,0.8156424581005587
P3_mba_presence,MBA Presence,PLS-DA,raw,1,0.8731290683693353,0.8958589226180032,0.9055555555555556
P3_mba_presence,MBA Presence,PLS-DA,raw,2,0.8398190045248869,0.8849472674976031,0.903954802259887
P3_mba_presence,MBA Presence,PLS-DA,raw,3,0.41904761904761906,0.5,0.7213114754098361
P3_mba_presence,MBA Presence,PLS-DA,raw,4,0.7116495806150979,0.7210884353741496,0.8131868131868132
P3_mba_presence,MBA Presence,SVM,raw,0,0.5424223980523433,0.5583670715249662,0.6480446927374302
P3_mba_presence,MBA Presence,SVM,raw,1,0.5200892857142857,0.6906474820143885,0.5222222222222223
P3_mba_presence,MBA Presence,SVM,raw,2,0.4820164259416596,0.5044343240651966,0.8248587570621468
P3_mba_presence,MBA Presence,SVM,raw,3,0.41904761904761906,0.5,0.7213114754098361
P3_mba_presence,MBA Presence,SVM,raw,4,0.7339181286549707,0.7496598639455783,0.8241758241758241
P3_mba_presence,MBA Presence,RF,raw,0,0.7293695720966211,0.7221322537112012,0.7597765363128491
P3_mba_presence,MBA Presence,RF,raw,1,0.8069513406156902,0.8426917002982979,0.85
P3_mba_presence,MBA Presence,RF,raw,2,0.7404692082111437,0.700862895493768,0.8870056497175142
P3_mba_presence,MBA Presence,RF,raw,3,0.7400687285223368,0.7081105169340464,0.8306010928961749
P3_mba_presence,MBA Presence,RF,raw,4,0.8445147997386804,0.8333333333333333,0.9065934065934066
P3_mba_presence,MBA Presence,KNN,raw,0,0.5250414593698176,0.5473684210526316,0.6424581005586593
P3_mba_presence,MBA Presence,KNN,raw,1,0.7512727272727273,0.8203193542726794,0.7888888888888889
P3_mba_presence,MBA Presence,KNN,raw,2,0.4957264957264957,0.5055129434324065,0.8022598870056498
P3_mba_presence,MBA Presence,KNN,raw,3,0.638768258981445,0.625891265597148,0.7814207650273224
P3_mba_presence,MBA Presence,KNN,raw,4,0.6457420924574209,0.6843537414965986,0.7362637362637363
P3_mba_presence,MBA Presence,HistGradientBoosting,raw,0,0.5964573268921095,0.5947368421052632,0.6480446927374302
P3_mba_presence,MBA Presence,HistGradientBoosting,raw,1,0.795382384069617,0.8354974556939814,0.8388888888888889
P3_mba_presence,MBA Presence,HistGradientBoosting,raw,2,0.39590443686006827,0.38926174496644295,0.655367231638418
P3_mba_presence,MBA Presence,HistGradientBoosting,raw,3,0.7770681826571672,0.7787433155080214,0.819672131147541
P3_mba_presence,MBA Presence,HistGradientBoosting,raw,4,0.7953641238540046,0.8353741496598639,0.8571428571428571
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,0,0.4511844879393064,0.48303548303548305,0.4647887323943662
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,1,0.6402344790833999,0.8369565217391305,0.6564885496183206
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,2,0.5228647925033467,0.6152320165602898,0.49122807017543857
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,3,0.4977777777777777,0.5655677655677657,0.6875
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,raw,4,0.5444977996161736,0.5916028669470472,0.5481481481481482
