Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
G2_mg_molar_grade,MG Positive Molar Grade,PLS-DA,raw,0.3425700862651638,0.09277316259979555,0.38702804292715537,0.1762557093719118,0.375705688925675,0.07477591342164
G2_mg_molar_grade,MG Positive Molar Grade,RF,raw,0.40374998033294124,0.11524755045621042,0.4346628854103102,0.1547595548559454,0.4959826559665853,0.17939309554479543
G2_mg_molar_grade,MG Positive Molar Grade,SVM,raw,0.3764896063422517,0.10660753973193961,0.39495417837523095,0.13378946250606896,0.44020910060575497,0.18301498912862535
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,raw,0.49990561398967215,0.1629689486275753,0.5380910845556943,0.15894972145531952,0.5827632963193065,0.16813584996835326
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,0.3706313013379662,0.27490238993526744,0.4295023747138761,0.2482631152142412,0.4152390706208499,0.239437934676162
G3_mba_molar_grade,MBA Positive Molar Grade,Chem-KAN,raw,0.5667452074168267,0.20339278121537846,0.5793001049009807,0.19849160472552366,0.5809476913704336,0.2043866813826149
G3_mba_molar_grade,MBA Positive Molar Grade,HistGradientBoosting,raw,0.6156426318615991,0.1630521996593035,0.6361158184183366,0.15453126845159498,0.6120172725821063,0.17796452520978542
G3_mba_molar_grade,MBA Positive Molar Grade,KNN,raw,0.5668072759067423,0.1966471801037097,0.5805642185314582,0.19600732445929744,0.5682536385635751,0.20912704974457888
G3_mba_molar_grade,MBA Positive Molar Grade,PLS-DA,raw,0.5587000307936789,0.11443483548530684,0.6033184568352252,0.09873879296476172,0.5826932200917476,0.11544638070729098
G3_mba_molar_grade,MBA Positive Molar Grade,RF,raw,0.6359077043596795,0.14517298183019067,0.6656121954667074,0.125772307866995,0.6365269281885275,0.1613829300780422
G3_mba_molar_grade,MBA Positive Molar Grade,SVM,raw,0.5858407911361331,0.12588566916515523,0.63516757296097,0.10100330420996834,0.6179300288065271,0.13605476169055924
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,raw,0.6197136650596453,0.16759622342394717,0.6522798210310314,0.13940993372786217,0.6217620057340731,0.16386457584437436
P1_thiram_presence,Thiram Presence,1D-CNN,raw,0.5300721914106441,0.1450211439048925,0.5979657844359679,0.15338498170627707,0.6215991847904809,0.11675644925159182
