Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
P2_mg_presence,MG Presence,1D-ResNet,p1,2,0.891264951069228,0.8671875,0.9166666666666666,12.118513986468315,0.0062138959765434
P2_mg_presence,MG Presence,1D-ResNet,p1,3,0.9347589706415368,0.916153846153846,0.95,12.701810494065285,0.0710991621017456
P2_mg_presence,MG Presence,1D-ResNet,p1,4,0.9364979812629846,0.9284615384615384,0.95,16.02654128521681,0.063889056444168
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0,0.8884215106791893,0.9048265460030166,0.9060773480662984,22.991109386086464,0.0084668099880218
P2_mg_presence,MG Presence,Spectrum-KAN,p1,1,0.9446153846153846,0.9446153846153846,0.9555555555555556,17.81277560442686,0.0743731334805488
P2_mg_presence,MG Presence,Spectrum-KAN,p1,2,0.9283620970367958,0.9456129807692308,0.9388888888888888,14.898439817130566,0.0110807791352272
P2_mg_presence,MG Presence,Spectrum-KAN,p1,3,0.8973042362002568,0.9323076923076924,0.9111111111111112,14.289046458899977,0.0047647133469581
P2_mg_presence,MG Presence,Spectrum-KAN,p1,4,0.929895622371086,0.9246153846153846,0.9444444444444444,23.801960811018944,0.0784599035978317
P2_mg_presence,MG Presence,KAN-CNN,p1,0,0.9072343780800316,0.8904223227752639,0.9281767955801103,35.92048912495375,0.0750869661569595
P2_mg_presence,MG Presence,KAN-CNN,p1,1,0.9123945489941596,0.8923076923076924,0.9333333333333332,25.81240700185299,0.0090402737259864
P2_mg_presence,MG Presence,KAN-CNN,p1,2,0.7439309806800973,0.7133413461538461,0.8277777777777777,16.679708816111088,0.015260174870491
P2_mg_presence,MG Presence,KAN-CNN,p1,3,0.8930572059073163,0.86,0.9222222222222224,23.393945135176185,0.0823171138763427
P2_mg_presence,MG Presence,KAN-CNN,p1,4,0.7395833333333334,0.7061538461538461,0.8333333333333334,14.10209845751524,0.0095619782805442
P3_mba_presence,MBA Presence,1D-CNN,p1,0,0.9237445230872936,0.9172196416721964,0.9447513812154696,23.37052994221449,0.0099760591983795
P3_mba_presence,MBA Presence,1D-CNN,p1,1,0.9091367995961634,0.8800712951960619,0.9388888888888888,15.106581553816795,0.0758171528577804
P3_mba_presence,MBA Presence,1D-CNN,p1,2,0.9306951871657754,0.9272619249702936,0.95,20.89588283002377,0.0112003535032272
P3_mba_presence,MBA Presence,1D-CNN,p1,3,0.9196428571428572,0.8888888888888888,0.9444444444444444,21.49811325967312,0.005178652703762
