Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy
P3_mba_presence,MBA Presence,RF,p1,4,0.992646758446015,0.9891304347826086,0.9944444444444445
P3_mba_presence,MBA Presence,SVM,p1,0,0.9847489046174587,0.9928057553956835,0.988950276243094
P3_mba_presence,MBA Presence,SVM,p1,1,0.9833209785025945,0.9833209785025945,0.9888888888888889
P3_mba_presence,MBA Presence,SVM,p1,2,0.9870391705069124,0.9870391705069124,0.9888888888888889
P3_mba_presence,MBA Presence,SVM,p1,3,0.9917397090541966,0.9964788732394366,0.9944444444444445
P3_mba_presence,MBA Presence,SVM,p1,4,1.0,1.0,1.0
P3_mba_presence,MBA Presence,PLS-DA,p1,0,0.9773040752351098,0.9892086330935252,0.9834254143646409
P3_mba_presence,MBA Presence,PLS-DA,p1,1,0.9357142857142857,0.9525574499629355,0.9555555555555556
P3_mba_presence,MBA Presence,PLS-DA,p1,2,0.9680567879325643,0.9749423963133641,0.9722222222222222
P3_mba_presence,MBA Presence,PLS-DA,p1,3,0.9752191271625901,0.9797998517420312,0.9833333333333333
P3_mba_presence,MBA Presence,PLS-DA,p1,4,0.9647211007016581,0.9813432835820896,0.9722222222222222
P3_mba_presence,MBA Presence,KNN,p1,0,0.9769377787215969,0.9809009934909215,0.9834254143646409
P3_mba_presence,MBA Presence,KNN,p1,1,0.9747368421052631,0.9701630837657524,0.9833333333333333
P3_mba_presence,MBA Presence,KNN,p1,2,0.986909090909091,0.9821428571428572,0.9888888888888889
P3_mba_presence,MBA Presence,KNN,p1,3,1.0,1.0,1.0
P3_mba_presence,MBA Presence,KNN,p1,4,1.0,1.0,1.0
P3_mba_presence,MBA Presence,HistGradientBoosting,p1,0,0.9761434031896665,0.9642857142857143,0.9834254143646409
P3_mba_presence,MBA Presence,HistGradientBoosting,p1,1,0.9652777777777778,0.9473684210526316,0.9777777777777777
P3_mba_presence,MBA Presence,HistGradientBoosting,p1,2,0.9539456851493111,0.9472926267281105,0.9611111111111111
P3_mba_presence,MBA Presence,HistGradientBoosting,p1,3,0.9181669394435352,0.9262416604892513,0.9444444444444444
P3_mba_presence,MBA Presence,HistGradientBoosting,p1,4,0.992646758446015,0.9891304347826086,0.9944444444444445
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0,0.9773040752351098,0.9892086330935252,0.9834254143646409
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,1,0.7860644777893329,0.8776871756856931,0.8222222222222222
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,2,0.8795986622073578,0.9144585253456221,0.8888888888888888
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,3,0.9752191271625901,0.9797998517420312,0.9833333333333333
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,4,0.992646758446015,0.9891304347826086,0.9944444444444445
P3_mba_presence,MBA Presence,1D-CNN,p1,0,0.9031567683253077,0.9200068516615278,0.9281767955801105
P3_mba_presence,MBA Presence,1D-CNN,p1,1,0.938593498708514,0.917531504818384,0.9611111111111111
P3_mba_presence,MBA Presence,1D-CNN,p1,2,0.9268590004063388,0.9164746543778801,0.9388888888888889
P3_mba_presence,MBA Presence,1D-CNN,p1,3,0.8749398749398749,0.8289473684210527,0.9277777777777778
