fold_id,n_train,n_test,macro_f1,run_id,task,task_name,retention_pct,n_features
3,518,130,0.9446755704468952,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,9,127
4,518,130,0.9532608695652174,shap_feature_selection_extratrees_p1_20260529_183134,G2_mg_molar_grade,MG Positive Molar Grade,9,127
0,544,137,0.9706640876853644,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,6,85
1,544,137,0.9634635031353485,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,6,85
2,544,137,0.9780219780219781,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,6,85
3,546,135,0.9627955897618818,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,6,85
4,546,135,0.9704508558441143,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,6,85
0,544,137,0.9706640876853644,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,7,99
1,544,137,0.9563659331337194,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,7,99
2,544,137,0.9780219780219781,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,7,99
3,546,135,0.9553004396678065,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,7,99
4,546,135,0.9851851851851853,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,7,99
0,544,137,0.9706640876853644,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,8,113
1,544,137,0.9634635031353485,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,8,113
2,544,137,0.9853462157809983,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,8,113
3,546,135,0.9627872932220759,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,8,113
4,546,135,0.9851851851851853,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,8,113
0,544,137,0.9780113567717773,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,9,127
1,544,137,0.9634635031353485,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,9,127
2,544,137,0.9853462157809983,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,9,127
3,546,135,0.9627955897618818,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,9,127
4,546,135,0.9851851851851853,shap_feature_selection_extratrees_p1_20260529_183134,G3_mba_molar_grade,MBA Positive Molar Grade,9,127
