Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,3,0.8018438432629601,0.7916082991938681,0.7890625,52.30061250925064,0.0142208263278007
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,raw,4,0.8452697065966204,0.8391978764879101,0.8384615384615385,51.50887078791857,0.0836741104722023
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,raw,0,0.7676653749011896,0.7792832167832168,0.7786259541984732,38.38335055857897,0.0121825337409973
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,raw,1,0.7131323991446559,0.7195027195027195,0.7251908396946565,33.30404655635357,0.0047684907913208
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,raw,2,0.9086894586894588,0.9070175438596492,0.9076923076923076,130.1141985282302,0.0101038068532943
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,raw,3,0.8951837045497811,0.892026782961103,0.890625,201.42400547862053,0.0749722197651863
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,raw,4,0.8925576024773002,0.8901041018622206,0.8923076923076924,157.10328199714422,0.015939176082611
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,raw,0,0.6448689651044842,0.6377730796335447,0.6384615384615384,39.28913078457117,0.0058973133563995
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,raw,1,0.4770641458692781,0.5413244268513937,0.5615384615384615,34.68300426751375,0.0133848264813423
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,raw,2,0.5999631362116977,0.6194659776055125,0.6328125,65.32108572870493,0.0818956941366195
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,raw,3,0.6813964245026184,0.6735662083488171,0.676923076923077,31.80547355860472,0.0859653577208519
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,raw,4,0.6618876239593189,0.6546973803071364,0.6538461538461539,37.81731873750687,0.0818530842661857
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,raw,0,0.6479271479271479,0.6455250176180408,0.6461538461538462,33.71839492768049,0.0816581696271896
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,raw,1,0.6765804298592579,0.667260432129309,0.6692307692307692,33.18852285295725,0.011059433221817
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,raw,2,0.6961178045515394,0.6994401378122309,0.6953125,37.18893584609032,0.0108021348714828
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,raw,3,0.7212334015640581,0.7163879598662207,0.7230769230769231,36.88458226621151,0.0149952098727226
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,raw,4,0.6398684598321622,0.6301387862363472,0.6307692307692307,31.585971161723137,0.0093959644436836
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,raw,0,0.6787984651806278,0.6687808315715292,0.6692307692307692,70.0055068358779,0.0151390880346298
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,raw,1,0.5737639012786202,0.6214662708230249,0.6,44.58084088563919,0.0075315162539482
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,raw,2,0.5141312935430583,0.5171619293712317,0.5234375,20.00130028277636,0.0050320625305175
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,raw,3,0.549594567091916,0.5915149262975351,0.6153846153846154,23.57413008064032,0.0104425325989723
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,raw,4,0.6246782093103224,0.6138786236347212,0.6153846153846154,30.28015075623989,0.0120898559689521
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,raw,0,0.5271354902331513,0.5833333333333334,0.5846153846153846,41.085615545511246,0.0071024075150489
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,raw,1,0.461327737949525,0.5465940953323437,0.5692307692307692,26.586452037096024,0.0108409002423286
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,raw,2,0.6366771159874608,0.6468992248062015,0.65625,41.49276898801327,0.0037801712751388
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,raw,3,0.6029624007842393,0.6318097361575623,0.6538461538461539,29.281021125614643,0.0101317390799522
G2_mg_molar_grade,MG Positive Molar Grade,KAN-CNN,raw,4,0.6535557032258762,0.6481933152664859,0.6538461538461539,37.89384317398071,0.0098824054002761
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,0,0.4823193843193843,0.4964573268921095,0.4963503649635036,21.7837158292532,0.011344239115715
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,1,0.3197933461625145,0.3918852053438891,0.3795620437956204,21.0752542167902,0.0065875500440597
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,2,0.4820242351303199,0.5048916547528943,0.5036496350364964,21.486942067742348,0.0085349082946777
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,3,0.4546316038853352,0.4797101449275362,0.4814814814814814,22.899485550820827,0.005440779030323
G3_mba_molar_grade,MBA Positive Molar Grade,1D-CNN,raw,4,0.3754501466011908,0.4296296296296296,0.4296296296296296,21.404212281107903,0.0704941898584365
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,raw,0,0.8294380861169756,0.8328502415458937,0.8321167883211679,42.23748265951872,0.0641795024275779
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,raw,1,0.3748513743644602,0.4532409698169222,0.437956204379562,22.809057258069515,0.0759893655776977
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,raw,2,0.8004052684903749,0.8051677739466823,0.8029197080291971,40.80878642946482,0.0102424323558807
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,raw,3,0.8280809512560044,0.8307495242277851,0.8296296296296296,42.99521432071924,0.0678947940468788
G3_mba_molar_grade,MBA Positive Molar Grade,1D-ResNet,raw,4,0.7836572093940101,0.7851851851851852,0.7851851851851852,39.60116447508335,0.0061768889427185
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,raw,0,0.6745065562456866,0.6869565217391305,0.6861313868613139,34.38465275615454,0.0110187754034996
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,raw,1,0.6150743948478792,0.6224641266699654,0.6277372262773723,34.29878558963537,0.0810919031500816
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,raw,2,0.7323112119702588,0.7415552378549602,0.7372262773722628,31.12403232604265,0.0694245100021362
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,raw,3,0.6592156862745098,0.6600058556580296,0.6592592592592592,32.30102151632309,0.010146826505661
G3_mba_molar_grade,MBA Positive Molar Grade,Spectrum-KAN,raw,4,0.751345775626126,0.7555555555555555,0.7555555555555555,54.38789580762386,0.0139378979802131
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,raw,0,0.1737544179683046,0.3257648953301127,0.3211678832116788,21.604396633803844,0.0727107152342796
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,raw,1,0.4284245166598108,0.4656110836219693,0.4744525547445255,21.59046548604965,0.0135286450386047
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,raw,2,0.1620626151012891,0.3333333333333333,0.3211678832116788,22.805775612592697,0.0753827318549156
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,raw,3,0.1785714285714285,0.2949494949494949,0.2888888888888888,23.01719082146883,0.0780530795454979
G3_mba_molar_grade,MBA Positive Molar Grade,KAN-CNN,raw,4,0.2869370616463639,0.3111111111111111,0.3111111111111111,22.698271706700325,0.0073129162192344
P1_thiram_presence,Thiram Presence,RamanNet-Lite,raw,0,0.8771493212669683,0.8818320610687023,0.9005524861878453,50.70700328797102,0.007883362472057343
P1_thiram_presence,Thiram Presence,RamanNet-Lite,raw,1,0.9029810522824329,0.8801215142545568,0.9277777777777778,57.97007954120636,0.007015727460384369
P1_thiram_presence,Thiram Presence,RamanNet-Lite,raw,2,0.8578698017195999,0.8200000000000001,0.9,46.00925111025572,0.07818114757537842
P1_thiram_presence,Thiram Presence,RamanNet-Lite,raw,3,0.8703303488731089,0.9122596153846154,0.8833333333333333,49.40589325129986,0.0052326396107673645
P1_thiram_presence,Thiram Presence,RamanNet-Lite,raw,4,0.8560060629026147,0.8284615384615385,0.8944444444444445,53.00603016465902,0.001569300889968872
P2_mg_presence,MG Presence,RamanNet-Lite,raw,0,0.8265679442508711,0.7902714932126698,0.8784530386740331,50.98593384027481,0.0017760396003723145
P2_mg_presence,MG Presence,RamanNet-Lite,raw,1,0.8327359617682197,0.7961538461538462,0.8833333333333333,63.49981681257486,0.006028823554515839
P2_mg_presence,MG Presence,RamanNet-Lite,raw,2,0.84472049689441,0.8076923076923077,0.8888888888888888,115.19633492827415,0.003460802137851715
P2_mg_presence,MG Presence,RamanNet-Lite,raw,3,0.8232142857142857,0.7861538461538462,0.8777777777777778,36.42058213800192,0.07855913043022156
P2_mg_presence,MG Presence,RamanNet-Lite,raw,4,0.84472049689441,0.8123076923076924,0.8888888888888888,53.59619654715061,0.014986805617809296
P3_mba_presence,MBA Presence,RamanNet-Lite,raw,0,0.8301426426426426,0.7958692767086928,0.8895027624309392,58.879304841160774,0.007144935429096222
P3_mba_presence,MBA Presence,RamanNet-Lite,raw,1,0.7653194263363755,0.725258869461891,0.8611111111111112,36.89613173902035,0.08067968487739563
P3_mba_presence,MBA Presence,RamanNet-Lite,raw,2,0.8005640612409348,0.7601425903921235,0.8777777777777778,29.702801935374737,0.015136763453483582
P3_mba_presence,MBA Presence,RamanNet-Lite,raw,3,0.8263888888888888,0.7851851851851852,0.8888888888888888,44.48681768774986,0.001659192144870758
P3_mba_presence,MBA Presence,RamanNet-Lite,raw,4,0.8832468495181616,0.8444444444444444,0.9222222222222223,39.587746649980545,0.0020003542304039
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,raw,0,0.9557472111651678,0.9526029526029527,0.9541984732824428,86.50188121199608,0.07723132520914078
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,raw,1,0.9189074848472564,0.9127816627816627,0.916030534351145,44.98714430630207,0.00790906697511673
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,raw,2,0.9261376380125349,0.921832358674464,0.9230769230769231,49.495276026427746,0.0011321157217025757
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,raw,3,0.9391491221923002,0.9374741200828156,0.9375,63.89104990661144,0.0012745857238769531
G1_thiram_molar_grade,Thiram Positive Molar Grade,RamanNet-Lite,raw,4,0.9519313684303624,0.9487329434697855,0.9538461538461539,107.79561787098646,0.010080106556415558
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,raw,0,0.6053044336797198,0.6067653276955602,0.6076923076923076,20.7009679377079,0.010043740272521973
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,raw,1,0.5047786811201446,0.5748845456044861,0.6,18.384074099361897,0.014552406966686249
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,raw,2,0.5483473766992473,0.6063953488372092,0.625,20.39428435266018,0.007527172565460205
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,raw,3,0.5668318913188954,0.6287997027127462,0.6153846153846154,18.80013608187437,0.07395589351654053
G2_mg_molar_grade,MG Positive Molar Grade,RamanNet-Lite,raw,4,0.6014957264957265,0.6194670280036133,0.6307692307692307,16.61624101549387,0.07673685252666473
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,raw,0,0.8071693128081835,0.803220611916264,0.8029197080291971,21.496535018086433,0.010333292186260223
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,raw,1,0.7509842093878434,0.7514431799439221,0.7591240875912408,22.199875362217426,0.009229950606822968
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,raw,2,0.8506771271131036,0.8462913127575478,0.8467153284671532,23.806073427200317,0.010698966681957245
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,raw,3,0.6849671063022086,0.7003220611916263,0.6962962962962963,24.184660211205482,0.009233787655830383
G3_mba_molar_grade,MBA Positive Molar Grade,RamanNet-Lite,raw,4,0.5998022015823873,0.6296296296296297,0.6296296296296297,15.09657371789217,0.0012002065777778625
