task,task_name,rank,feature_index,wavenumber,mean_abs_shap,matched_literature_peak
P2_mg_presence,MG Presence,6,816,1216.0,0.004737539894724616,MG_1220(-4.0)
P2_mg_presence,MG Presence,7,1207,1607.0,0.0047367861423936,MG_1616(-9.0)
P2_mg_presence,MG Presence,8,1206,1606.0,0.00470456685278807,MG_1616(-10.0)
P2_mg_presence,MG Presence,9,1211,1611.0,0.004696501597778546,MG_1616(-5.0)
P2_mg_presence,MG Presence,10,814,1214.0,0.004356030375241003,MG_1220(-6.0)
P2_mg_presence,MG Presence,11,1213,1613.0,0.004318940229694051,MG_1616(-3.0)
P2_mg_presence,MG Presence,12,813,1213.0,0.004248045842311199,MG_1220(-7.0)
P2_mg_presence,MG Presence,13,771,1171.0,0.004241282268647377,MG_1172(-1.0)
P2_mg_presence,MG Presence,14,772,1172.0,0.004014699770409152,MG_1172(+0.0)
P2_mg_presence,MG Presence,15,1214,1614.0,0.004006685627086043,MG_1616(-2.0)
P2_mg_presence,MG Presence,16,773,1173.0,0.00396831333125539,MG_1172(+1.0)
P2_mg_presence,MG Presence,17,765,1165.0,0.003586724385699873,MG_1172(-7.0)
P2_mg_presence,MG Presence,18,1212,1612.0,0.003246939588971444,MG_1616(-4.0)
P2_mg_presence,MG Presence,19,810,1210.0,0.0031178983086079686,MG_1220(-10.0)
P2_mg_presence,MG Presence,20,994,1394.0,0.0031153188389786814,Thiram_1380(+14.0); MG_1394(+0.0)
P3_mba_presence,MBA Presence,1,672,1072.0,0.008741358014063174,MBA_1078(-6.0)
P3_mba_presence,MBA Presence,2,1176,1576.0,0.008048213739348997,MBA_1590(-14.0)
P3_mba_presence,MBA Presence,3,1179,1579.0,0.008030802362359406,MBA_1590(-11.0)
P3_mba_presence,MBA Presence,4,1174,1574.0,0.007828529598232142,
P3_mba_presence,MBA Presence,5,1172,1572.0,0.006974060806959177,
P3_mba_presence,MBA Presence,6,1177,1577.0,0.006887354999901413,MBA_1590(-13.0)
P3_mba_presence,MBA Presence,7,1178,1578.0,0.006386300466823821,MBA_1590(-12.0)
P3_mba_presence,MBA Presence,8,661,1061.0,0.006090241089353362,
P3_mba_presence,MBA Presence,9,1180,1580.0,0.0060371445588220185,MBA_1590(-10.0)
P3_mba_presence,MBA Presence,10,1173,1573.0,0.005930539421845414,
P3_mba_presence,MBA Presence,11,1167,1567.0,0.005872021949180003,
P3_mba_presence,MBA Presence,12,1169,1569.0,0.0056687390314836055,
P3_mba_presence,MBA Presence,13,668,1068.0,0.005622749883435403,MBA_1078(-10.0)
P3_mba_presence,MBA Presence,14,1171,1571.0,0.005610371449263046,
P3_mba_presence,MBA Presence,15,670,1070.0,0.0055533871206410925,MBA_1078(-8.0)
P3_mba_presence,MBA Presence,16,1181,1581.0,0.0055408206878070874,MBA_1590(-9.0)
P3_mba_presence,MBA Presence,17,664,1064.0,0.005516131583154445,MBA_1078(-14.0)
P3_mba_presence,MBA Presence,18,1182,1582.0,0.005382209478294684,MBA_1590(-8.0)
P3_mba_presence,MBA Presence,19,674,1074.0,0.005299495101428201,MBA_1078(-4.0)
P3_mba_presence,MBA Presence,20,669,1069.0,0.005261336053464367,MBA_1078(-9.0)
