task,task_name,feature_index,wavenumber,mean_abs_shap
G1_thiram_molar_grade,Thiram Positive Molar Grade,154,554.0,0.0009446056842735018
G1_thiram_molar_grade,Thiram Positive Molar Grade,287,687.0,0.0009379548511193508
G1_thiram_molar_grade,Thiram Positive Molar Grade,159,559.0,0.0009315279408862121
G1_thiram_molar_grade,Thiram Positive Molar Grade,968,1368.0,0.0009263053087687736
G1_thiram_molar_grade,Thiram Positive Molar Grade,39,439.0,0.0009247039401468049
G1_thiram_molar_grade,Thiram Positive Molar Grade,402,802.0,0.0009177828727582345
G1_thiram_molar_grade,Thiram Positive Molar Grade,40,440.0,0.0009152470525485711
G1_thiram_molar_grade,Thiram Positive Molar Grade,833,1233.0,0.0009148885683575583
G1_thiram_molar_grade,Thiram Positive Molar Grade,727,1127.0,0.0009140115055963128
G1_thiram_molar_grade,Thiram Positive Molar Grade,688,1088.0,0.0009121159455468265
G1_thiram_molar_grade,Thiram Positive Molar Grade,1273,1673.0,0.0009063355403768748
G1_thiram_molar_grade,Thiram Positive Molar Grade,1026,1426.0,0.000903811208272793
G1_thiram_molar_grade,Thiram Positive Molar Grade,1142,1542.0,0.0008904637806898621
G1_thiram_molar_grade,Thiram Positive Molar Grade,293,693.0,0.0008877514221871149
G1_thiram_molar_grade,Thiram Positive Molar Grade,1031,1431.0,0.0008848030703926404
G1_thiram_molar_grade,Thiram Positive Molar Grade,321,721.0,0.0008750098501520569
G1_thiram_molar_grade,Thiram Positive Molar Grade,946,1346.0,0.0008737833972444476
G1_thiram_molar_grade,Thiram Positive Molar Grade,403,803.0,0.0008639458105523032
G1_thiram_molar_grade,Thiram Positive Molar Grade,123,523.0,0.0008619461379004135
G1_thiram_molar_grade,Thiram Positive Molar Grade,976,1376.0,0.0008609766996858867
G1_thiram_molar_grade,Thiram Positive Molar Grade,315,715.0,0.0008503409675861281
G1_thiram_molar_grade,Thiram Positive Molar Grade,1172,1572.0,0.0008447296846428949
G1_thiram_molar_grade,Thiram Positive Molar Grade,296,696.0,0.000839052235052173
G1_thiram_molar_grade,Thiram Positive Molar Grade,72,472.0,0.0008374843436317164
G1_thiram_molar_grade,Thiram Positive Molar Grade,1377,1777.0,0.0008352888401478076
G1_thiram_molar_grade,Thiram Positive Molar Grade,927,1327.0,0.0008279174317920545
G1_thiram_molar_grade,Thiram Positive Molar Grade,642,1042.0,0.0008268174043540535
G1_thiram_molar_grade,Thiram Positive Molar Grade,1028,1428.0,0.0008265665320753667
G1_thiram_molar_grade,Thiram Positive Molar Grade,485,885.0,0.00082544723385557
G1_thiram_molar_grade,Thiram Positive Molar Grade,794,1194.0,0.0008069662551988882
G1_thiram_molar_grade,Thiram Positive Molar Grade,44,444.0,0.0008036983891253326
G1_thiram_molar_grade,Thiram Positive Molar Grade,1008,1408.0,0.0008030118680621847
G1_thiram_molar_grade,Thiram Positive Molar Grade,125,525.0,0.000798657441999932
G1_thiram_molar_grade,Thiram Positive Molar Grade,1089,1489.0,0.0007953736202727335
G1_thiram_molar_grade,Thiram Positive Molar Grade,1035,1435.0,0.000787808922914184
G1_thiram_molar_grade,Thiram Positive Molar Grade,483,883.0,0.0007809601930287525
G1_thiram_molar_grade,Thiram Positive Molar Grade,890,1290.0,0.0007803096656267151
G1_thiram_molar_grade,Thiram Positive Molar Grade,1123,1523.0,0.0007801360990742207
G1_thiram_molar_grade,Thiram Positive Molar Grade,163,563.0,0.0007794134148153174
G1_thiram_molar_grade,Thiram Positive Molar Grade,34,434.0,0.0007790432931999152
G1_thiram_molar_grade,Thiram Positive Molar Grade,793,1193.0,0.0007786542782954416
G1_thiram_molar_grade,Thiram Positive Molar Grade,1038,1438.0,0.0007772422950159576
G1_thiram_molar_grade,Thiram Positive Molar Grade,1037,1437.0,0.0007745059752203674
G1_thiram_molar_grade,Thiram Positive Molar Grade,721,1121.0,0.0007721701411867002
G1_thiram_molar_grade,Thiram Positive Molar Grade,928,1328.0,0.0007632686248470205
G1_thiram_molar_grade,Thiram Positive Molar Grade,1272,1672.0,0.0007616776171149518
G1_thiram_molar_grade,Thiram Positive Molar Grade,1321,1721.0,0.0007580678738997442
G1_thiram_molar_grade,Thiram Positive Molar Grade,722,1122.0,0.0007565814338894883
G1_thiram_molar_grade,Thiram Positive Molar Grade,396,796.0,0.0007497288105574522
G1_thiram_molar_grade,Thiram Positive Molar Grade,1380,1780.0,0.0007477853908860467
G1_thiram_molar_grade,Thiram Positive Molar Grade,1049,1449.0,0.0007400889865192001
G1_thiram_molar_grade,Thiram Positive Molar Grade,669,1069.0,0.000738916118617398
G1_thiram_molar_grade,Thiram Positive Molar Grade,31,431.0,0.0007385915386085955
G1_thiram_molar_grade,Thiram Positive Molar Grade,1126,1526.0,0.0007357576839396241
G1_thiram_molar_grade,Thiram Positive Molar Grade,1118,1518.0,0.0007351337568939259
G1_thiram_molar_grade,Thiram Positive Molar Grade,1231,1631.0,0.000733951720029706
G1_thiram_molar_grade,Thiram Positive Molar Grade,931,1331.0,0.0007318822954804298
G1_thiram_molar_grade,Thiram Positive Molar Grade,834,1234.0,0.0007308395062635584
G1_thiram_molar_grade,Thiram Positive Molar Grade,924,1324.0,0.0007243227383334986
G1_thiram_molar_grade,Thiram Positive Molar Grade,945,1345.0,0.0007235240296182069
G1_thiram_molar_grade,Thiram Positive Molar Grade,1361,1761.0,0.0007137238442151811
G1_thiram_molar_grade,Thiram Positive Molar Grade,126,526.0,0.0007126377231338211
G1_thiram_molar_grade,Thiram Positive Molar Grade,1381,1781.0,0.000709130671546218
G1_thiram_molar_grade,Thiram Positive Molar Grade,1101,1501.0,0.0007085570568579614
G1_thiram_molar_grade,Thiram Positive Molar Grade,186,586.0,0.0007075277042763047
G1_thiram_molar_grade,Thiram Positive Molar Grade,320,720.0,0.00070613526802446
G1_thiram_molar_grade,Thiram Positive Molar Grade,984,1384.0,0.0007051727457628593
G1_thiram_molar_grade,Thiram Positive Molar Grade,469,869.0,0.0007049375750159468
G1_thiram_molar_grade,Thiram Positive Molar Grade,122,522.0,0.0007017370299326438
G1_thiram_molar_grade,Thiram Positive Molar Grade,526,926.0,0.0006999410378752788
G1_thiram_molar_grade,Thiram Positive Molar Grade,650,1050.0,0.0006952385524239173
G1_thiram_molar_grade,Thiram Positive Molar Grade,1317,1717.0,0.0006925737232563157
G1_thiram_molar_grade,Thiram Positive Molar Grade,980,1380.0,0.0006915875753213881
G1_thiram_molar_grade,Thiram Positive Molar Grade,35,435.0,0.0006888078667020339
G1_thiram_molar_grade,Thiram Positive Molar Grade,447,847.0,0.0006878912868223359
G1_thiram_molar_grade,Thiram Positive Molar Grade,982,1382.0,0.0006876343029248611
G1_thiram_molar_grade,Thiram Positive Molar Grade,724,1124.0,0.000687547992030364
G1_thiram_molar_grade,Thiram Positive Molar Grade,940,1340.0,0.0006855774129624346
G1_thiram_molar_grade,Thiram Positive Molar Grade,1086,1486.0,0.0006826071285623272
G1_thiram_molar_grade,Thiram Positive Molar Grade,148,548.0,0.0006820605814498964
G1_thiram_molar_grade,Thiram Positive Molar Grade,1300,1700.0,0.0006814407275046438
G1_thiram_molar_grade,Thiram Positive Molar Grade,312,712.0,0.0006812942887871842
G1_thiram_molar_grade,Thiram Positive Molar Grade,1376,1776.0,0.0006811375916043928
G1_thiram_molar_grade,Thiram Positive Molar Grade,115,515.0,0.0006788585655726829
G1_thiram_molar_grade,Thiram Positive Molar Grade,151,551.0,0.0006788297444467403
