variant,folder_name,peak,peak_wn,n_spectra,mean_peak,std_peak,rsd_percent
raw,美6K4m5,MG_1616,1616,12,8825.827013108616,1249.6907628952033,14.159474925568926
raw,美6K4m5,MBA_1080,1080,12,3419.64427860696,347.35490489642393,10.157632683301312
raw,美6K4m6,Thiram_1382,1382,12,409.8000886524807,310.36626053738155,75.7360159579123
raw,美6K4m6,MG_1616,1616,12,248.81754519490332,150.5429882802699,60.50336529216492
raw,美6K4m6,MBA_1080,1080,12,625.7608364427856,563.6806835227234,90.07925243884478
raw,美6K5,Thiram_1382,1382,12,861.3669691280749,586.5751535731465,68.09817123204893
raw,美6K5,MG_1616,1616,12,976.610843899734,720.3491650590327,73.76010307059308
raw,美6K5,MBA_1080,1080,12,301.1340018656715,155.2757443232864,51.56367044613949
raw,美6K5m4,Thiram_1382,1382,8,341.94614361701935,137.88550156695752,40.32374809332246
raw,美6K5m4,MG_1616,1616,8,293.1926295430296,116.88166067255403,39.865142877133685
raw,美6K5m4,MBA_1080,1080,8,1519.3861940298486,974.799067000399,64.15742559927781
raw,美6K5m5,Thiram_1382,1382,12,3468.985294117641,2959.029640456745,85.29957291760135
raw,美6K5m5,MG_1616,1616,12,4175.520599250939,3674.402884165806,87.99867697515297
raw,美6K5m5,MBA_1080,1080,12,2579.188640132666,1684.352107934664,65.30550273546591
raw,美6K5m6,Thiram_1382,1382,5,2362.888235294114,2692.5121904091193,113.95004428019323
raw,美6K5m6,MG_1616,1616,5,2684.946776724626,3251.863627322127,121.11464016761941
raw,美6K5m6,MBA_1080,1080,5,1470.723977611939,1502.6610302065546,102.17151913484628
raw,美6K6,Thiram_1382,1382,13,693.3679118128418,643.4038098686369,92.79399852618337
raw,美6K6,MG_1616,1616,13,510.65425778477373,292.0674069389649,57.1947462468947
raw,美6K6,MBA_1080,1080,13,341.47752391886695,313.80189249964405,91.8953285412136
raw,美6K6m4,Thiram_1382,1382,9,792.7547281323864,755.2715039964571,95.27177539208952
raw,美6K6m4,MG_1616,1616,9,599.4719101123596,572.8176397576951,95.55370820466489
raw,美6K6m4,MBA_1080,1080,9,3548.153399668321,3906.3511184880394,110.0953278641561
raw,美6K6m5,Thiram_1382,1382,9,1205.6980948407718,945.925256122899,78.45457002632328
raw,美6K6m5,MG_1616,1616,9,940.6935081148567,628.9615838624231,66.86147809426875
raw,美6K6m5,MBA_1080,1080,9,4312.061359867321,4740.519590415047,109.93627397178109
raw,美6K6m6,Thiram_1382,1382,14,884.6617647058812,404.98516137703916,45.778531132933324
raw,美6K6m6,MG_1616,1616,14,949.8059791332269,460.0211494760573,48.43317051929522
raw,美6K6m6,MBA_1080,1080,14,568.6553962331196,192.15058963430147,33.79033961642554
raw,美6m4,Thiram_1382,1382,12,377.9951241134739,225.20431787784727,59.57863038737005
raw,美6m4,MG_1616,1616,12,172.29886568116657,92.8766049445086,53.904362386444106
raw,美6m4,MBA_1080,1080,12,1969.1084162520701,1252.5928727250014,63.612184193958264
raw,美6m5,Thiram_1382,1382,12,181.33820921985634,107.16373354338673,59.09605813602157
raw,美6m5,MG_1616,1616,12,126.81173367438704,57.39607499194846,45.26085507144289
raw,美6m5,MBA_1080,1080,12,654.8819340796011,546.9622238280521,83.5207379169462
raw,美6m6,Thiram_1382,1382,15,704.1493742177702,687.4784702540809,97.63247620830327
raw,美6m6,MG_1616,1616,15,399.3768323813112,379.28735172496414,94.96979318090081
raw,美6m6,MBA_1080,1080,15,799.0688399668319,650.403673091497,81.39519908178302
p1,K4,Thiram_1382,1382,21,3.4689992835199526,0.4576893875786127,13.193700839113484
p1,K4,MG_1616,1616,21,5.024232354671407,0.8448029727891908,16.81456814002071
p1,K4,MBA_1080,1080,21,-0.5833225908134261,0.04254261037027238,7.29315322949313
p1,K4m4,Thiram_1382,1382,14,3.5347859213671584,0.15205089846570383,4.301558901957341
p1,K4m4,MG_1616,1616,14,5.362964206986538,0.21836182024342232,4.071662830770976
p1,K4m4,MBA_1080,1080,14,-0.1337188198009947,0.021224863045594834,15.872756787101816
p1,K4m5,Thiram_1382,1382,12,3.648199893452672,0.20269747109249675,5.556095526900063
p1,K4m5,MG_1616,1616,12,5.6306013277716955,0.2741821713332024,4.869500704673575
p1,K4m5,MBA_1080,1080,12,-0.5309281070838273,0.011280510214762132,2.124677534350441
p1,K4m6,Thiram_1382,1382,14,3.3730437464137757,0.024978127525733834,0.7405218966487052
p1,K4m6,MG_1616,1616,14,5.413743377773005,0.06993162107049113,1.2917424449338817
p1,K4m6,MBA_1080,1080,14,-0.49555035943495557,0.007290505442646738,1.4711936544571647
p1,K5,Thiram_1382,1382,27,3.470955527571777,0.5841906128602762,16.83082967268573
p1,K5,MG_1616,1616,27,5.295226515715743,1.0276502754724268,19.407106993864296
p1,K5,MBA_1080,1080,27,-0.09306296056532705,0.5641045739106325,606.1536947501795
p1,K5m4,Thiram_1382,1382,14,0.4696672358284483,0.021492628093740543,4.576139541824669
p1,K5m4,MG_1616,1616,14,0.005839520763541264,0.023670637960144358,405.352406792193
p1,K5m4,MBA_1080,1080,14,6.747912837673153,0.17796201075439508,2.6372897077277715
p1,K5m5,Thiram_1382,1382,14,3.65536474835498,0.16178984178962463,4.426092960009935
p1,K5m5,MG_1616,1616,14,2.412676199481249,0.15651929000542106,6.487372405757323
p1,K5m5,MBA_1080,1080,14,3.8668187500075994,0.15621345611195642,4.03984428056395
p1,K5m6,Thiram_1382,1382,16,4.9622413837044945,0.23357431237491755,4.707032453962282
p1,K5m6,MG_1616,1616,16,3.44945981668596,0.14265095405316536,4.135457771188536
p1,K5m6,MBA_1080,1080,16,1.2771844280460765,0.1877086611873976,14.697067789541332
p1,K6,Thiram_1382,1382,14,4.2275049551190635,0.13215509045050064,3.1260777185009503
p1,K6,MG_1616,1616,14,5.826580784491159,0.3916839602914134,6.72236384903431
p1,K6,MBA_1080,1080,14,0.3418322456129526,0.5090723940477925,148.92462621101035
p1,K6m4,Thiram_1382,1382,15,0.790633217386254,0.06031745454794979,7.629005867898217
p1,K6m4,MG_1616,1616,15,0.646660388709211,0.06675775390174996,10.323464227491048
p1,K6m4,MBA_1080,1080,15,6.560470766503129,0.10243559984497566,1.5614062388327055
p1,K6m5,Thiram_1382,1382,15,1.8545677294039915,0.12250538697185995,6.605603291244042
p1,K6m5,MG_1616,1616,15,0.004173198145771136,0.13658384482626443,3272.8818535652367
p1,K6m5,MBA_1080,1080,15,5.597882655079928,0.12933169183291043,2.31036804095108
p1,K6m6,Thiram_1382,1382,14,4.8337656066941275,0.35399450916467384,7.323369355651796
p1,K6m6,MG_1616,1616,14,1.377067986442201,0.380145918182935,27.605457531917626
p1,K6m6,MBA_1080,1080,14,2.2350523319269526,0.2308976982947371,10.330751320514649
p1,m4,Thiram_1382,1382,20,0.29614795671312816,0.10765728002204747,36.35253176044454
p1,m4,MG_1616,1616,20,-0.2365414041301011,0.025766450428060864,10.892998002958059
p1,m4,MBA_1080,1080,20,6.986867162009138,0.20278919829745728,2.9024338604878155
p1,m5,Thiram_1382,1382,20,0.6144019698377658,0.1762764167182242,28.690731047748812
p1,m5,MG_1616,1616,20,-0.1508042501559757,0.03906474312646058,25.90427198574059
p1,m5,MBA_1080,1080,20,7.911550388044626,0.2742680220757225,3.466678572763398
p1,m6,Thiram_1382,1382,21,3.048306384512733,0.47441467544652177,15.563221527102375
p1,m6,MG_1616,1616,21,2.008620925661369,1.1644978874360972,57.974995309414524
p1,m6,MBA_1080,1080,21,3.8939947857620645,1.9721310021418201,50.645445375342725
p1,美4,Thiram_1382,1382,18,8.166659455349903,0.24479078047957356,2.997440775116604
p1,美4,MG_1616,1616,18,-0.3761854101705054,0.02015332158747042,5.357284212148462
p1,美4,MBA_1080,1080,18,-0.3021670104245955,0.026279788317587302,8.697107033841906
p1,美4K4,Thiram_1382,1382,10,7.536384903956159,0.12289031324336401,1.6306268165636528
p1,美4K4,MG_1616,1616,10,-0.1212204577664564,0.2449452261839584,202.06591420061324
p1,美4K4,MBA_1080,1080,10,-0.3362585301633126,0.0105695129817046,3.1432698455474855
p1,美4K4m4,Thiram_1382,1382,12,1.616803360878844,0.7676016045774817,47.47649733732848
p1,美4K4m4,MG_1616,1616,12,2.911559843512157,0.4980700433917335,17.106639401610977
p1,美4K4m4,MBA_1080,1080,12,2.6728510211309087,0.6697200701512934,25.05639352349419
p1,美4K4m5,Thiram_1382,1382,15,4.128784945097568,0.06663394721488115,1.6138875746967856
p1,美4K4m5,MG_1616,1616,15,4.640794054255522,0.2500823202335064,5.388782982174905
p1,美4K4m5,MBA_1080,1080,15,0.05991288606907165,0.02632884899733132,43.94521900844108
p1,美4K4m6,Thiram_1382,1382,15,7.775700524598853,0.13603813581651664,1.7495290023857346
p1,美4K4m6,MG_1616,1616,15,1.1776288344736747,0.135566924945929,11.511855091975463
p1,美4K4m6,MBA_1080,1080,15,0.07570937756799867,0.03431672784519689,45.326918471064154
p1,美4K5,Thiram_1382,1382,13,7.621282154251072,0.14316570318522648,1.8784989229846334
p1,美4K5,MG_1616,1616,13,-0.4356186686290222,0.008083861044000048,1.8557196066554154
p1,美4K5,MBA_1080,1080,13,-0.2401088299531731,0.06779398602294945,28.234690925848447
p1,美4K5m4,Thiram_1382,1382,16,0.8939715127482426,0.016177995427507325,1.8096768405710173
p1,美4K5m4,MG_1616,1616,16,-0.25204339308725854,0.006750088933726053,2.678145557018883
p1,美4K5m4,MBA_1080,1080,16,6.109258597497206,0.10655748794916577,1.7441967179588604
p1,美4K5m5,Thiram_1382,1382,15,7.231612322661714,0.07152279703411911,0.9890297466581278
p1,美4K5m5,MG_1616,1616,15,-0.04778708551587892,0.05317191461725662,111.26837730999183
p1,美4K5m5,MBA_1080,1080,15,1.8661966221956683,0.09321626496989198,4.994986265713988
p1,美4K5m6,Thiram_1382,1382,15,8.125225083210363,0.04132313245515271,0.5085783105324819
