Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std,FitSeconds_total,FitSeconds_mean,PredictSeconds_total
P1_thiram_presence,Thiram Presence,1D-ResNet,raw,0.7422566605139218,0.0962366618751656,0.779234501390104,0.0786341984938509,0.7680969920196439,0.1016456131908302,205.9680132120848,41.19360264241696,0.1719987615942955
P1_thiram_presence,Thiram Presence,KAN-CNN,raw,0.6391660013072831,0.0338835528290072,0.7348613659718144,0.0279503782451726,0.6460036832412523,0.0390383176616853,151.1796161979437,30.235923239588736,0.1167339086532592
P1_thiram_presence,Thiram Presence,Spectrum-KAN,raw,0.6649881792732255,0.110108919029399,0.6829513931747097,0.0764975234976861,0.7047391037446287,0.1221468919707817,225.61636685580012,45.12327337116003,0.1659324765205383
P2_mg_presence,MG Presence,1D-CNN,raw,0.8792282153503368,0.0380796996271924,0.866083286199095,0.0531512011422863,0.9079066912216084,0.0242463205855246,479.9568175971508,95.99136351943017,0.1915965601801872
P2_mg_presence,MG Presence,1D-ResNet,raw,0.9352797511260884,0.0199575602186369,0.9440078242835596,0.0250427391970052,0.9467341927562922,0.0164412508598716,442.1122251600027,88.42244503200054,0.1282522678375244
P2_mg_presence,MG Presence,KAN-CNN,raw,0.8758927149151742,0.0299434232153826,0.8848963518099549,0.0160284667517109,0.8967587476979743,0.0296328067565404,502.5120618715882,100.50241237431764,0.1143053248524665
P2_mg_presence,MG Presence,Spectrum-KAN,raw,0.810970643995328,0.0280918186932301,0.7782745569381598,0.0326150126041033,0.8679373848987109,0.0162409669180454,469.8030679002404,93.96061358004808,0.1717870905995369
P3_mba_presence,MBA Presence,1D-CNN,raw,0.734307021524659,0.0979164689902813,0.7658382986773752,0.0925373368991518,0.7780662983425415,0.0891670380345042,253.47867638617757,50.69573527723551,0.1036801412701606
P3_mba_presence,MBA Presence,1D-ResNet,raw,0.9400797871475725,0.0150312186011849,0.9312259584471434,0.0204547861277711,0.9567157765500308,0.0106805043619082,481.89638029038906,96.3792760580778,0.168834738433361
P3_mba_presence,MBA Presence,KAN-CNN,raw,0.6233961292737636,0.0325548282706821,0.6268864049308795,0.039131310568803,0.7203130755064457,0.0261945170550677,124.26693242788316,24.853386485576628,0.0429870039224624
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,0.7379022784066321,0.0586671119081829,0.7242862421533276,0.0466769051508328,0.8157335788827501,0.0537316142088437,158.5019330754876,31.70038661509752,0.192326582968235
