Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,1,0.9243090332199244,0.9324661162174794,0.9388888888888888,53.5928690880537,0.0147638916969299
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,2,0.9188701923076924,0.9292307692307692,0.9333333333333332,52.69019823521376,0.0083490684628486
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,3,0.913560636843855,0.9206730769230768,0.9277777777777778,49.80729150027037,0.0094045624136924
P1_thiram_presence,Thiram Presence,KAN-CNN,p1,4,0.9655950150999656,0.9684615384615384,0.9722222222222222,103.59751859307288,0.0726019293069839
P2_mg_presence,MG Presence,1D-CNN,p1,0,0.9440321583178726,0.9334841628959276,0.9558011049723756,82.40989325195551,0.0141347050666809
P2_mg_presence,MG Presence,1D-CNN,p1,1,0.9259259259259258,0.9,0.9444444444444444,62.298635601997375,0.0135712325572967
P2_mg_presence,MG Presence,1D-CNN,p1,2,0.9053485576923076,0.9053485576923076,0.9222222222222224,61.82486888021231,0.0801867991685867
P2_mg_presence,MG Presence,1D-CNN,p1,3,0.8880550603258841,0.8623076923076923,0.9166666666666666,60.09455320239067,0.0103228166699409
P2_mg_presence,MG Presence,1D-CNN,p1,4,0.8892307692307693,0.8892307692307693,0.9111111111111112,62.79654982686043,0.0094797760248184
P2_mg_presence,MG Presence,1D-ResNet,p1,0,0.892962743938498,0.8767722473604826,0.9171270718232044,53.68496333062649,0.0120918080210685
P2_mg_presence,MG Presence,1D-ResNet,p1,1,0.8947192513368984,0.8661538461538462,0.9222222222222224,48.29374949634075,0.0105120912194252
P2_mg_presence,MG Presence,1D-ResNet,p1,2,0.9233716475095786,0.9113581730769232,0.9388888888888888,45.08184988796711,0.0092166885733604
P2_mg_presence,MG Presence,1D-ResNet,p1,3,0.920260964117434,0.9023076923076924,0.9388888888888888,46.21651765704155,0.0641605406999588
P2_mg_presence,MG Presence,1D-ResNet,p1,4,0.916923076923077,0.916923076923077,0.9333333333333332,54.20971914380789,0.0106886401772499
P2_mg_presence,MG Presence,Spectrum-KAN,p1,0,0.9366271153472088,0.9236802413273002,0.9502762430939228,91.43376114964484,0.0652695447206497
P2_mg_presence,MG Presence,Spectrum-KAN,p1,1,0.8722689075630252,0.8838461538461538,0.8944444444444445,32.11989386379719,0.0822169184684753
P2_mg_presence,MG Presence,Spectrum-KAN,p1,2,0.9331451493091664,0.9381009615384616,0.9444444444444444,36.59363253414631,0.0119265615940094
P2_mg_presence,MG Presence,Spectrum-KAN,p1,3,0.8903658055963599,0.9223076923076924,0.9055555555555556,36.867640390992165,0.0113007947802543
P2_mg_presence,MG Presence,Spectrum-KAN,p1,4,0.916923076923077,0.916923076923077,0.9333333333333332,38.59613147377968,0.0057477802038192
P2_mg_presence,MG Presence,KAN-CNN,p1,0,0.9066185141509434,0.9163650075414782,0.9226519337016574,66.51189477741718,0.0676668807864189
P2_mg_presence,MG Presence,KAN-CNN,p1,1,0.9289772727272728,0.9184615384615384,0.9444444444444444,85.90503358095884,0.0782830417156219
P2_mg_presence,MG Presence,KAN-CNN,p1,2,0.929895622371086,0.9152644230769232,0.9444444444444444,74.8181139305234,0.0074618011713027
P2_mg_presence,MG Presence,KAN-CNN,p1,3,0.90185387131952,0.8969230769230769,0.9222222222222224,72.26609905064106,0.0051961913704872
P2_mg_presence,MG Presence,KAN-CNN,p1,4,0.9116013750897208,0.9192307692307692,0.9277777777777778,79.10698015987873,0.0775813534855842
P3_mba_presence,MBA Presence,1D-CNN,p1,0,0.918291802094619,0.8863636363636364,0.9447513812154696,55.309814222157,0.0777099952101707
P3_mba_presence,MBA Presence,1D-CNN,p1,1,0.92831541218638,0.911305381089798,0.95,71.6112245246768,0.0843629240989685
P3_mba_presence,MBA Presence,1D-CNN,p1,2,0.9196428571428572,0.8996774741130538,0.9444444444444444,62.987835355103016,0.0090459957718849
P3_mba_presence,MBA Presence,1D-CNN,p1,3,0.916635089048882,0.9074074074074074,0.9388888888888888,57.49059013277292,0.0120113492012023
P3_mba_presence,MBA Presence,1D-CNN,p1,4,0.9541673739602784,0.9407407407407408,0.9666666666666668,62.89933703094721,0.0874755531549453
P3_mba_presence,MBA Presence,1D-ResNet,p1,0,0.9379924631723192,0.9245189117451892,0.9558011049723756,31.60494425147772,0.0822193101048469
P3_mba_presence,MBA Presence,1D-ResNet,p1,1,0.8883108204858956,0.8488372093023255,0.9277777777777778,37.71863932907581,0.0787906348705291
P3_mba_presence,MBA Presence,1D-ResNet,p1,2,0.9256573814877702,0.8953488372093024,0.95,36.405775621533394,0.0108142793178558
P3_mba_presence,MBA Presence,1D-ResNet,p1,3,0.9534161490683232,0.9333333333333332,0.9666666666666668,43.67793180048466,0.014149785041809
P3_mba_presence,MBA Presence,1D-ResNet,p1,4,0.863919863919864,0.8222222222222222,0.9111111111111112,32.99150659888983,0.0065516605973243
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,0,0.8359139862929252,0.8933311214333113,0.861878453038674,28.887405551970005,0.0105447769165039
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,1,0.8704207326827706,0.8944152096418265,0.9,28.38205410540104,0.0064195841550827
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,2,0.9849598930481284,0.9927007299270072,0.9888888888888888,41.898348800838,0.0826847925782203
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,3,0.9853990914990266,0.9925925925925926,0.9888888888888888,48.7933798879385,0.0105768963694572
P3_mba_presence,MBA Presence,Spectrum-KAN,p1,4,0.8796612687564997,0.925925925925926,0.9,32.28857050836086,0.0162978023290634
P3_mba_presence,MBA Presence,KAN-CNN,p1,0,0.8810998498498499,0.8409090909090908,0.9226519337016574,60.69252751022577,0.0827056095004081
P3_mba_presence,MBA Presence,KAN-CNN,p1,1,0.8257857470327543,0.7790697674418605,0.8944444444444445,79.51663575321436,0.00706497579813
P3_mba_presence,MBA Presence,KAN-CNN,p1,2,0.8508699254349628,0.8103038533355966,0.9055555555555556,115.70619298517704,0.0126263573765754
P3_mba_presence,MBA Presence,KAN-CNN,p1,3,0.9018003273322422,0.8666666666666667,0.9333333333333332,97.79390873014928,0.0105437189340591
P3_mba_presence,MBA Presence,KAN-CNN,p1,4,0.9018003273322422,0.8666666666666667,0.9333333333333332,63.992674604058266,0.0070711150765419
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,0,0.954711303669197,0.9570707070707072,0.9541984732824428,58.31121169775725,0.009475938975811
