sample_index,preprocess,wavenumber,value
279,raw,528.0,22041.134529147963
279,raw,529.0,21516.246636771288
279,raw,530.0,20858.9575892857
279,raw,531.0,20197.57366071427
279,raw,532.0,19733.51785714285
279,raw,533.0,19342.446428571424
279,raw,534.0,18965.127802690582
279,raw,535.0,18602.123318385653
279,raw,536.0,18282.957399103143
279,raw,537.0,18088.56278026906
279,raw,538.0,17893.77901785715
279,raw,539.0,17686.41294642858
279,raw,540.0,17479.046875000007
279,raw,541.0,17379.5269058296
279,raw,542.0,17308.67488789238
279,raw,543.0,17247.867713004485
279,raw,544.0,17194.952914798207
279,raw,545.0,17173.336322869956
279,raw,546.0,17215.264573991033
279,raw,547.0,17267.48430493274
279,raw,548.0,17412.32735426009
279,raw,549.0,17557.170403587446
279,raw,550.0,17757.217488789236
279,raw,551.0,17965.513452914794
279,raw,552.0,18092.247747747748
279,raw,553.0,18173.103603603602
279,raw,554.0,18193.91479820628
279,raw,555.0,18131.80717488789
279,raw,556.0,18066.608108108103
279,raw,557.0,17988.229729729726
279,raw,558.0,17909.85135135135
279,raw,559.0,17730.68161434977
279,raw,560.0,17548.394618834078
279,raw,561.0,17343.666666666668
279,raw,562.0,17131.054054054057
279,raw,563.0,17037.315315315314
279,raw,564.0,17053.306306306305
279,raw,565.0,17093.418918918916
279,raw,566.0,17189.815315315314
279,raw,567.0,17296.229729729737
279,raw,568.0,17517.851351351357
279,raw,569.0,17739.472972972977
279,raw,570.0,17889.42792792793
279,raw,571.0,18027.716216216217
279,raw,572.0,17988.563063063066
279,raw,573.0,17849.599099099105
279,raw,574.0,17599.013513513524
279,raw,575.0,17194.28378378378
279,raw,576.0,16804.689189189176
279,raw,577.0,16475.635135135126
279,raw,578.0,16146.581081081074
279,raw,579.0,15936.239819004524
279,raw,580.0,15728.321266968329
279,raw,581.0,15581.128378378382
279,raw,582.0,15452.074324324329
279,raw,583.0,15312.619909502266
279,raw,584.0,15164.656108597284
279,raw,585.0,15030.53846153846
279,raw,586.0,14923.298642533935
279,raw,587.0,14814.617647058823
279,raw,588.0,14696.291855203623
279,raw,589.0,14577.966063348422
279,raw,590.0,14511.676470588236
279,raw,591.0,14449.911764705881
279,raw,592.0,14376.260180995474
279,raw,593.0,14297.753393665158
279,raw,594.0,14223.884615384615
279,raw,595.0,14154.653846153848
279,raw,596.0,14093.493212669684
279,raw,597.0,14052.090497737556
279,raw,598.0,14011.248868778279
279,raw,599.0,13976.859728506786
279,raw,600.0,13942.470588235294
279,raw,601.0,13920.204545454546
279,raw,602.0,13899.75
279,raw,603.0,13889.968325791855
279,raw,604.0,13885.443438914028
279,raw,605.0,13922.727272727276
279,raw,606.0,14009.09090909091
279,raw,607.0,14064.431818181818
279,raw,608.0,14031.477272727274
279,raw,609.0,13999.319004524888
279,raw,610.0,13979.635746606335
279,raw,611.0,13959.952488687783
279,raw,612.0,13913.920454545454
279,raw,613.0,13863.238636363638
279,raw,614.0,13843.28409090909
279,raw,615.0,13839.875
279,raw,616.0,13883.409090909094
279,raw,617.0,13984.318181818184
279,raw,618.0,14057.272727272728
279,raw,619.0,14046.363636363636
279,raw,620.0,14037.917808219176
279,raw,621.0,14076.27397260274
279,raw,622.0,14114.630136986301
279,raw,623.0,14063.513636363637
279,raw,624.0,13997.83181818182
279,raw,625.0,13895.100000000002
279,raw,626.0,13773.281818181817
279,raw,627.0,13670.426940639267
279,raw,628.0,13589.833333333334
279,raw,629.0,13523.109589041096
279,raw,630.0,13493.885844748858
279,raw,631.0,13467.145454545454
279,raw,632.0,13468.963636363636
279,raw,633.0,13470.781818181818
279,raw,634.0,13457.13698630137
279,raw,635.0,13441.383561643835
279,raw,636.0,13425.787671232876
279,raw,637.0,13410.262557077625
279,raw,638.0,13410.833333333334
279,raw,639.0,13427.5
279,raw,640.0,13443.671232876712
279,raw,641.0,13458.739726027397
279,raw,642.0,13475.04109589041
279,raw,643.0,13500.383561643835
279,raw,644.0,13525.726027397259
279,raw,645.0,13560.135321100917
279,raw,646.0,13595.227064220184
279,raw,647.0,13672.150684931505
279,raw,648.0,13763.018264840179
279,raw,649.0,13895.990825688066
279,raw,650.0,14062.04587155963
279,raw,651.0,14196.059360730595
279,raw,652.0,14277.794520547948
279,raw,653.0,14363.610091743125
279,raw,654.0,14466.821100917434
279,raw,655.0,14568.699541284404
279,raw,656.0,14538.65366972477
279,raw,657.0,14508.607798165136
279,raw,658.0,14485.795871559632
279,raw,659.0,14464.465596330276
279,raw,660.0,14390.367579908676
279,raw,661.0,14287.85616438356
279,raw,662.0,14167.845622119812
279,raw,663.0,14027.292626728113
279,raw,664.0,13892.779816513765
279,raw,665.0,13773.05504587156
279,raw,666.0,13662.740825688074
279,raw,667.0,13628.566513761469
279,raw,668.0,13594.392201834864
279,raw,669.0,13575.362385321101
279,raw,670.0,13557.47247706422
279,raw,671.0,13586.006912442397
279,raw,672.0,13630.01612903226
279,raw,673.0,13631.472477064219
279,raw,674.0,13602.114678899083
279,raw,675.0,13582.28801843318
279,raw,676.0,13576.758064516129
279,raw,677.0,13567.27752293578
279,raw,678.0,13544.571100917432
279,raw,679.0,13523.668202764977
279,raw,680.0,13537.032258064515
279,raw,681.0,13550.396313364055
279,raw,682.0,13582.009216589862
279,raw,683.0,13616.110599078342
279,raw,684.0,13639.251152073733
279,raw,685.0,13657.914746543778
279,raw,686.0,13698.850230414744
279,raw,687.0,13758.758064516129
279,raw,688.0,13857.967741935487
279,raw,689.0,14024.096774193553
279,raw,690.0,14181.490740740745
279,raw,691.0,14303.944444444445
279,raw,692.0,14427.730414746538
279,raw,693.0,14583.490783410136
279,raw,694.0,14739.251152073733
279,raw,695.0,14821.442396313365
279,raw,696.0,14892.640552995395
279,raw,697.0,14946.083333333334
279,raw,698.0,14991.916666666666
279,raw,699.0,14989.125000000002
279,raw,700.0,14944.912037037038
279,raw,701.0,14930.370967741936
279,raw,702.0,14964.241935483871
279,raw,703.0,15016.131944444447
279,raw,704.0,15135.807870370369
279,raw,705.0,15252.960648148144
279,raw,706.0,15322.17361111111
279,raw,707.0,15391.386574074073
279,raw,708.0,15313.914351851852
279,raw,709.0,15218.312499999998
279,raw,710.0,15120.344907407405
279,raw,711.0,15021.50231481481
279,raw,712.0,14915.27083333333
279,raw,713.0,14803.46527777778
279,raw,714.0,14778.689814814812
279,raw,715.0,14879.152777777777
279,raw,716.0,15036.302325581397
279,raw,717.0,15363.51162790698
279,raw,718.0,15692.814814814823
279,raw,719.0,16040.962962962976
279,raw,720.0,16389.11111111113
279,raw,721.0,16609.58604651163
279,raw,722.0,16821.91162790697
279,raw,723.0,16916.606481481478
279,raw,724.0,16980.032407407405
279,raw,725.0,17120.123255813953
279,raw,726.0,17305.239534883724
279,raw,727.0,17418.132558139536
279,raw,728.0,17452.783720930234
279,raw,729.0,17323.202325581384
279,raw,730.0,16860.179069767448
279,raw,731.0,16334.616279069807
279,raw,732.0,15524.151162790728
279,raw,733.0,14723.11162790699
279,raw,734.0,14226.832558139544
279,raw,735.0,13730.553488372096
279,raw,736.0,13523.241860465116
279,raw,737.0,13355.334883720927
279,raw,738.0,13324.43023255814
279,raw,739.0,13344.197674418605
279,raw,740.0,13479.070093457954
279,raw,741.0,13697.294392523376
279,raw,742.0,14028.039534883737
279,raw,743.0,14501.99302325581
279,raw,744.0,14972.387850467274
279,raw,745.0,15434.07009345793
279,raw,746.0,15814.408878504675
279,raw,747.0,15733.80140186916
279,raw,748.0,15649.03720930233
279,raw,749.0,15152.758139534883
279,raw,750.0,14656.479069767436
279,raw,751.0,14387.07009345794
279,raw,752.0,14154.59345794392
279,raw,753.0,14095.38785046729
279,raw,754.0,14103.565420560748
279,raw,755.0,13993.845794392515
279,raw,756.0,13798.752336448588
279,raw,757.0,13629.976635514015
279,raw,758.0,13494.696261682244
279,raw,759.0,13367.686915887854
279,raw,760.0,13259.976635514022
279,raw,761.0,13176.673708920187
279,raw,762.0,13221.50938967136
279,raw,763.0,13265.827102803738
279,raw,764.0,13293.397196261682
279,raw,765.0,13320.967289719625
279,raw,766.0,13477.046728971962
279,raw,767.0,13649.009345794393
279,raw,768.0,13797.80985915493
279,raw,769.0,13938.889671361503
279,raw,770.0,14091.030516431925
279,raw,771.0,14249.950704225354
279,raw,772.0,14359.278037383177
279,raw,773.0,14416.98831775701
279,raw,774.0,14494.840375586857
279,raw,775.0,14610.098591549298
279,raw,776.0,14736.150234741788
279,raw,777.0,14900.46948356808
279,raw,778.0,15071.211267605642
279,raw,779.0,15306.89201877935
279,raw,780.0,15542.57276995306
279,raw,781.0,15914.591549295788
279,raw,782.0,16292.291079812221
279,raw,783.0,16620.697183098604
279,raw,784.0,16939.007042253535
279,raw,785.0,17238.5566037736
279,raw,786.0,17530.06603773586
279,raw,787.0,17832.218309859167
279,raw,788.0,18142.077464788745
279,raw,789.0,18445.27122641511
279,raw,790.0,18740.318396226427
279,raw,791.0,18982.85211267606
279,raw,792.0,19118.76760563381
279,raw,793.0,19234.85849056604
279,raw,794.0,19271.650943396227
279,raw,795.0,19285.406103286376
279,raw,796.0,19034.232394366187
279,raw,797.0,18783.058685445998
279,raw,798.0,18395.429245283
279,raw,799.0,18000.617924528284
279,raw,800.0,17539.054245283
279,raw,801.0,17063.818396226397
279,raw,802.0,16540.021226415076
279,raw,803.0,15996.389150943378
279,raw,804.0,15510.78301886791
279,raw,805.0,15065.499999999987
279,raw,806.0,14688.054502369661
279,raw,807.0,14387.106635071084
279,raw,808.0,14089.981132075469
279,raw,809.0,13799.650943396224
279,raw,810.0,13545.094339622641
279,raw,811.0,13403.82075471698
279,raw,812.0,13275.007109004739
279,raw,813.0,13237.5663507109
279,raw,814.0,13200.39858490566
279,raw,815.0,13190.257075471698
279,raw,816.0,13180.115566037735
279,raw,817.0,13266.31279620853
279,raw,818.0,13364.417061611372
279,raw,819.0,13463.632075471694
279,raw,820.0,13563.160377358487
279,raw,821.0,13686.30331753554
279,raw,822.0,13821.611374407577
279,raw,823.0,13916.12559241706
279,raw,824.0,13977.263033175357
279,raw,825.0,14058.52369668247
