sample_id,folder_name,mixture_order,family,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
S0085,K5,1,single,26.706017728913476,6.371153173024084,31.857906,-4.68178,-18.122665,10.442244
S0086,K5,1,single,27.470826104736325,3.421590024493819,33.872894,-3.8750398,-18.066597,10.429596
S0087,K5,1,single,27.770849151766278,2.8251830449215003,33.94073,-3.9178407,-18.089252,10.382653
S0088,K5,1,single,-27.18825086936116,26.63965475367104,29.974857,-5.2127557,-18.178938,10.617355
S0089,K5m4,2,binary_MG_MBA,-15.685588345349657,-5.713706201181827,-18.18414,-27.884525,0.5246847,8.665059
S0090,K5m4,2,binary_MG_MBA,-15.3919659759853,-6.644555723346809,-17.652004,-27.171387,0.53184503,8.659429
S0091,K5m4,2,binary_MG_MBA,-15.746501409446346,-6.5956126923528755,-17.562418,-27.095543,0.4893588,8.6041355
S0092,K5m4,2,binary_MG_MBA,-15.971277271593229,-6.4533966014443065,-17.5429,-27.088411,0.48561376,8.60226
S0093,K5m4,2,binary_MG_MBA,-16.053202159885714,-6.324895926368152,-17.516052,-27.154444,0.5101023,8.608056
S0094,K5m4,2,binary_MG_MBA,-15.07195508274548,-5.606220795928627,-18.725876,-28.129353,0.5791531,8.742425
S0095,K5m4,2,binary_MG_MBA,-15.420037958896396,-5.437819752266881,-18.64317,-28.116035,0.5744646,8.740649
S0096,K5m4,2,binary_MG_MBA,-15.611036808444334,-5.418298112312692,-18.511503,-28.120955,0.55763215,8.713032
S0097,K5m4,2,binary_MG_MBA,-15.716701421420613,-5.5118909907605955,-18.492973,-27.997456,0.5143078,8.658617
S0098,K5m4,2,binary_MG_MBA,-15.678703283097581,-5.341204402955887,-18.542948,-27.85382,0.5740325,8.728997
S0099,K5m4,2,binary_MG_MBA,-15.779757725424759,-5.368940280338946,-18.525314,-27.796585,0.5659871,8.72639
S0100,K5m4,2,binary_MG_MBA,-15.826504496364825,-5.693059048906252,-18.195877,-27.9002,0.52013415,8.678036
S0101,K5m4,2,binary_MG_MBA,-15.755985032830843,-5.713776361174083,-18.245644,-27.923672,0.52402186,8.683191
S0102,K5m4,2,binary_MG_MBA,-15.94195761756125,-5.529475978860211,-18.131922,-27.889093,0.5682348,8.718559
S0103,K5m5,2,binary_MG_MBA,4.408588673184849,-18.24936812480542,10.605728,4.8420854,15.125852,-8.588481
S0104,K5m5,2,binary_MG_MBA,5.3716514448423345,-19.024411341832963,10.392267,4.5236034,15.167911,-8.572715
